time,sin,cos,tan
0.0,0.0,1.0,0.0
0.01,0.06279051952931337,0.9980267284282716,0.06291466725364976
0.02,0.12533323356430426,0.9921147013144779,0.12632937844610817
0.03,0.1873813145857246,0.9822872507286887,0.19076020221856674
0.04,0.2486898871648548,0.9685831611286311,0.2567563603677268
0.05,0.3090169943749474,0.9510565162951535,0.3249196962329063
0.06,0.3681245526846779,0.9297764858882515,0.3959280087977212
0.07,0.4257792915650727,0.9048270524660195,0.4705642812122516
0.08,0.4817536741017153,0.8763066800438636,0.5497546521927701
0.09,0.5358267949789967,0.8443279255020151,0.6346192975441481
0.1,0.5877852522924731,0.8090169943749475,0.7265425280053608
0.11,0.6374239897486896,0.7705132427757893,0.8272719459724756
0.12,0.6845471059286886,0.7289686274214116,0.9390625058174922
0.13,0.7289686274214116,0.6845471059286886,1.064891840324792
0.14,0.7705132427757893,0.6374239897486896,1.2087923504096094
0.15,0.8090169943749475,0.5877852522924731,1.3763819204711734
0.16,0.8443279255020151,0.5358267949789965,1.5757478599686512
0.17,0.8763066800438637,0.48175367410171516,1.8189932472810668
0.18,0.9048270524660196,0.42577929156507266,2.125108173157203
0.19,0.9297764858882513,0.3681245526846781,2.525711689447304
0.2,0.9510565162951535,0.30901699437494745,3.0776835371752527
0.21,0.9685831611286311,0.24868988716485496,3.894742854929856
0.22,0.9822872507286886,0.18738131458572474,5.242183581113174
0.23,0.9921147013144779,0.12533323356430426,7.915815088305826
0.24,0.9980267284282716,0.06279051952931353,15.894544843865265
0.25,1.0,6.123233995736766e-17,1.633123935319537e+16
0.26,0.9980267284282716,-0.0627905195293134,-15.894544843865297
0.27,0.9921147013144778,-0.12533323356430437,-7.91581508830582
0.28,0.9822872507286886,-0.18738131458572482,-5.242183581113171
0.29,0.9685831611286312,-0.24868988716485463,-3.894742854929862
0.3,0.9510565162951536,-0.30901699437494734,-3.077683537175254
0.31,0.9297764858882515,-0.368124552684678,-2.525711689447305
0.32,0.9048270524660195,-0.4257792915650727,-2.1251081731572024
0.33,0.8763066800438635,-0.48175367410171543,-1.8189932472810655
0.34,0.844327925502015,-0.5358267949789969,-1.57574785996865
0.35,0.8090169943749475,-0.587785252292473,-1.3763819204711738
0.36,0.7705132427757893,-0.6374239897486897,-1.2087923504096092
0.37,0.7289686274214114,-0.6845471059286887,-1.0648918403247918
0.38,0.6845471059286888,-0.7289686274214113,-0.9390625058174928
0.39,0.6374239897486899,-0.7705132427757891,-0.827271945972476
0.4,0.5877852522924732,-0.8090169943749473,-0.726542528005361
0.41,0.535826794978997,-0.8443279255020149,-0.6346192975441487
0.42,0.4817536741017156,-0.8763066800438635,-0.5497546521927705
0.43,0.4257792915650729,-0.9048270524660194,-0.47056428121225186
0.44,0.36812455268467814,-0.9297764858882513,-0.3959280087977215
0.45,0.3090169943749475,-0.9510565162951535,-0.32491969623290645
0.46,0.24868988716485482,-0.9685831611286311,-0.2567563603677268
0.47,0.18738131458572502,-0.9822872507286886,-0.19076020221856715
0.48,0.12533323356430454,-0.9921147013144778,-0.12632937844610848
0.49,0.06279051952931358,-0.9980267284282716,-0.06291466725364997
0.5,1.2246467991473532e-16,-1.0,-1.2246467991473532e-16
0.51,-0.06279051952931335,-0.9980267284282716,0.06291466725364972
